experiment_id,timestamp,schedule,communication,num_processes,chunk_size,image_width,image_height,xlim_min,xlim_max,ylim_min,ylim_max,total_chunks,wall_clock_time,computation_time,communication_time,rank,chunks_processed,chunk_ids,row_ranges,load_balance_score,result_file,plot_file
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,0.1170039176940918,1.809197187423706,0,1,0,0-127,0.0,,
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,0.6956260204315186,1.2332050800323486,1,1,1,128-255,0.0,,
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,1.931952714920044,0.001268148422241211,2,1,2,256-383,0.0,,
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,0.7937850952148438,1.1290621757507324,3,1,3,384-499,0.0,,
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,0.0,3.2901763916015625e-05,4,0,,,0.0,,
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,0.0,3.0994415283203125e-05,5,0,,,0.0,,
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,0.0,3.2901763916015625e-05,6,0,,,0.0,,
static_nonblocking_500x500_fe1b1bc6,1759853147,static,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,1.9262957572937012,9.5367431640625e-07,6.29425048828125e-05,7,0,,,0.0,,
