experiment_id,timestamp,schedule,communication,num_processes,chunk_size,image_width,image_height,xlim_min,xlim_max,ylim_min,ylim_max,total_chunks,wall_clock_time,computation_time,communication_time,rank,chunks_processed,chunk_ids,row_ranges,load_balance_score,result_file,plot_file
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,0.0,0.0,0,0,,,0.0,,
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,0.11652207374572754,0.0008289813995361328,1,1,0,0-127,0.0,,
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,0.0,4.291534423828125e-05,2,0,,,0.0,,
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,0.0,0.00019502639770507812,3,0,,,0.0,,
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,0.7634000778198242,0.0006871223449707031,4,1,1,128-255,0.0,,
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,0.8071939945220947,0.0006656646728515625,5,1,3,384-499,0.0,,
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,2.03892183303833,0.0010335445404052734,6,1,2,256-383,0.0,,
dynamic_nonblocking_500x500_88ffc052,1759853152,dynamic,nonblocking,8,128,500,500,-2.2,0.75,-1.3,1.3,4,2.0438778400421143,0.0,8.20159912109375e-05,7,0,,,0.0,,
