experiment_id,timestamp,schedule,communication,num_processes,chunk_size,image_width,image_height,xlim_min,xlim_max,ylim_min,ylim_max,wall_clock_time,computation_time,communication_time,rank,chunks_processed,chunk_ids
dynamic_blocking_100x100_f2f8ae6b,1759853723,dynamic,blocking,4,25,100,100,-2.2,0.75,-1.3,1.3,0.05552101135253906,0.0,0.0,0,0,
dynamic_blocking_100x100_f2f8ae6b,1759853723,dynamic,blocking,4,25,100,100,-2.2,0.75,-1.3,1.3,0.05552101135253906,0.031188011169433594,0.0008356571197509766,1,2,"0,3"
dynamic_blocking_100x100_f2f8ae6b,1759853723,dynamic,blocking,4,25,100,100,-2.2,0.75,-1.3,1.3,0.05552101135253906,0.01778101921081543,0.0003032684326171875,2,1,1
dynamic_blocking_100x100_f2f8ae6b,1759853723,dynamic,blocking,4,25,100,100,-2.2,0.75,-1.3,1.3,0.05552101135253906,0.055094003677368164,0.0003142356872558594,3,1,2
