experiment_id,timestamp,schedule,communication,num_processes,chunk_size,image_width,image_height,xlim_min,xlim_max,ylim_min,ylim_max,total_chunks,wall_clock_time,computation_time,communication_time,rank,chunks_processed,chunk_ids,row_ranges,load_balance_score,result_file,plot_file
dynamic_blocking_500x500_41a5d06d,1759853140,dynamic,blocking,4,128,500,500,-2.2,0.75,-1.3,1.3,4,1.5512042045593262,0.0,0.0,0,0,,,0.0,,
dynamic_blocking_500x500_41a5d06d,1759853140,dynamic,blocking,4,128,500,500,-2.2,0.75,-1.3,1.3,4,1.5512042045593262,1.5490360260009766,0.0008649826049804688,1,1,2,256-383,1.0,,
dynamic_blocking_500x500_41a5d06d,1759853140,dynamic,blocking,4,128,500,500,-2.2,0.75,-1.3,1.3,4,1.5512042045593262,0.554002046585083,0.003293275833129883,2,1,1,128-255,1.0,,
dynamic_blocking_500x500_41a5d06d,1759853140,dynamic,blocking,4,128,500,500,-2.2,0.75,-1.3,1.3,4,1.5512042045593262,0.6910116672515869,0.00441288948059082,3,2,"0,3","0-127,384-499",0.0,,
